"gene","padj_MLH1","log2FoldChange_MLH1","padj_MSH2","log2FoldChange_MSH2","Result_KOvsHA"
"SCN4A",NA,0.419753167206945,0.352403828809324,2.37532001685534,"Not DE"
"ST7L",0.309881748887023,0.162147750274861,0.241938807259427,-0.249298638486798,"Not DE"
"TKTL1",NA,-1.10607685769562,NA,2.14986391374505,"Not DE"
"PAX6",0.447288392832795,-1.57807529676904,NA,1.40298435652212,"Not DE"
"RPUSD1",0.254067833309074,-0.147661907580907,0.982759925004551,-0.00755014485517679,"Not DE"
"RHBDF1",0.00282934941823581,0.365941320593778,0.958136396610645,-0.0226324006868452,"DE (up) in MLH1"
"LUC7L",0.512835230007157,0.0990630327278317,0.957501502958239,0.0195490391298577,"Not DE"
"CACNA2D2",NA,2.64848620881349,NA,-0.052343194189835,"Not DE"
"BAIAP3",9.32640273043538e-07,2.16072308126753,0.0135573480106293,1.24820110831671,"DE (up) in both"
"TSR3",0.792817527448899,-0.0651265166140919,0.948200757257009,-0.0264887698065527,"Not DE"
"PIGQ",3.6026529748521e-07,0.536207109972414,0.598866117965119,0.13486007670823,"DE (up) in MLH1"
"CRAMP1",0.856145131893287,0.0269332855552916,0.0439405888292548,0.264823770023905,"DE (up) in MSH2"
"TEAD3",0.000914143770902172,-0.35129191149188,0.128526144724791,-0.268401883726478,"DE (down) in MLH1"
"SELE",NA,NA,NA,-0.814047889434528,"Not DE"
"DNAJC11",0.454269191159072,-0.0818410799568663,0.854356094182853,-0.0500015563661534,"Not DE"
"FMO3",0.728303389060967,0.493540624006561,0.803091971737391,0.651337061173351,"Not DE"
"MYLIP",0.00891113573492584,0.470045179136746,0.661780311901555,0.171358820402841,"DE (up) in MLH1"
"NOX1",NA,-1.10607685769562,NA,NA,"Not DE"
"PSMB1",0.060973892298764,-0.197916383283059,0.1903742843914,-0.175797418862685,"Not DE"
"SYN1",NA,-3.00795940165838,NA,-1.21794945097501,"Not DE"
"JARID2",5.19614521502637e-05,-0.373717520495385,0.0249447637360463,-0.270516881988095,"DE (down) in both"
"CDKL5",0.658554826193261,-0.106683463886037,0.788939839888407,0.139356507810269,"Not DE"
"CAMK1G",NA,-1.42810062159496,NA,-0.776102961768313,"Not DE"
"CDK11A",0.987484678430593,0.00303236128207805,0.806873055702902,0.106772105591834,"Not DE"
"NADK",0.128026092964157,0.153148384721779,0.0244855622913928,0.323280538452153,"DE (up) in MSH2"
"TFAP2B",0.104525785725965,-4.57356910465752,NA,1.52268720141686,"Not DE"
"TFAP2D",NA,-1.10607685769562,NA,NA,"Not DE"
